0,Generalidades
3,Sistemas
4,Ciência da Computação
10,Bibliografias e catálogos
015.81,Bibliografia Brasil
20,Biblioteconomia e ciência da informação
21,Biblioteca e Sociedade
28,Literatura e leitura complementar
028.5,Literatura infantil
028.9,Hábito de leitura
30,Enciclopédias gerais
50,Periódicos
60,"Organizações gerais (academias, fundações, associações)"
69,Museologia (Ciência)
069.22,Museus
70,"Jornalismo, Publicidade, Jornais"
70.172,"Jornais, mídia impressa"
80,Coleções de obras diversas sem assunto específico
90,Manuscritos e Livros raros
100,Filosofia e disciplinas relacionadas
107,Estudo e ensino de Filosofia
110,Metafísica
133,"Parapsicologia (Ocultismo, Espiritismo)"
140,Sistemas filosóficos
150,Psicologia
156,Psicologia comparativa
158,Psicologia comportamental
158.1,Auto-ajuda
160,Lógica
170,Ética (Moral filosófica)
174,Ética profissional e ocupacional
200,Religião
201,Filosofia e Cristianismo
210,"Religião Natural, Filosofia e teoria da religião"
211,Deus
213,Criação
220,Bíblia
220.95,História da Bíblia
230,Cristianismo
240,Moral cristã e teologia devocional
242,Literatura devocional
245,Hinos sem música
250,Congregações cristãs, prática e teologia pastoral
252,Textos de sermões
260,Teologia social e eclesiástica cristã
264.23,Hinos
265,"Outros ritos, cerimônias e ordenações"
266,Missões
270,História do cristianismo
280,Denominações cristãs e seitas
290,Outras religiões
300,Ciências sociais
301,Sociologia e antropologia
306,Cultura e instituições
306.27,Instituições militares
306.81,Casamento
306.85,Família
306.874,Relacionamento entre pais e filhos
306.89,Separação e divórcio
310,Estatística
318,Estatística - Brasil
320,Ciência política
320.12,Geopolítica
320.523,Comunismo
320.54,Nacionalismo
320.56,Racismo
321.8,Democracia
324.2,Partidos políticos
326,Escravidão
327,Relações internacionais
330,Economia
333.7,Recursos naturais e energia
333.72,"Meio ambiente, Conservação e Proteção"
334,Corporativismo
335,Socialismo
336,Finanças públicas
336.24,Imposto de renda
340,Direito
340.02,Seguro Social
341,Legislação internacional
342,Direito constitucional
343,Direito militar
346.810.482,Direitos autorais
348,Leis
350,Ciência militar e administração pública
3.550.335,Políticas militares
360,Serviço social
36.210.981,Serviços de saúde comunitária
366.1,Maçonaria
370,Educação
370.71,Formação de professores
380,Comércio, comunicação e transporte
380.1,Comércio internacional
388,Transporte rodoviário
390,"Usos e costumes, etiqueta, folclore"
394,Costumes sociais
394.25,Carnaval
395,Etiqueta
398,"Folclore, Provérbios, Lendas"
400,Linguagem e línguas
403,Dicionários
410,Linguística
415,"Gramática, Morfologia, Sintaxe"
420,Língua inglesa
430,Língua alemã
440,Língua francesa
450,Língua italiana
460,Língua espanhola
469,Língua portuguesa
470,Línguas itálicas - Latim
480,Língua grega clássica e moderna
490,Outras línguas
498,Línguas nativas Sul-americanas
500,Ciências naturais
510,Matemática
516,Geometria
519.2,Probabilidades e matemática aplicada
520,Astronomia e ciências afins
530,Física
540,Química e ciências afins
550,"Geociências, ciências da terra"
560,"Paleontologia, paleozoologia (Inclui pré-história)"
570,Biologia, ciências da vida
577,"Ecologia, Meio ambiente, Biodiversidade"
580,Plantas (botânica)
590,Animais (zoologia)
600,Tecnologia (ciências aplicadas)
610,Medicina e saúde
611,Anatomia
612,Fisiologia humana
613,"Saúde, Nutrição, Prevenção e programas de saúde"
614,Saúde pública
615,"Farmacologia, Remédio, Farmácia"
616,"Patologia, Doenças, Tratamento"
616.8,Doenças do sistema nervoso e desordem mental
6.168.914,Psicoterapia
619,Medicina experimental (Experiências com animais)
620,Engenharia
621,"Física aplicada, Mecânica"
622,Engenharia de minas
623,Engenharia militar e náutica
624,Engenharia civil
625,Engenharia de ferrovias e estradas
627,Engenharia hidráulica
628,"Engenharia sanitária, proteção ambiental"
629.4,Engenharia de transportes
630,Agricultura e tecnologias relacionadas
636.089,Veterinária
640,"Economia doméstica, administração da família e do lar"
641.5,Culinária
650,Administração e serviços auxiliares
657,Contabilidade
658,Administração geral
660,Engenharia química e tecnologias relacionadas
660.6,Biotecnologia
670,Produtos manufaturados
680,Manufatura para usos específicos
690,Construção
700,Artes
709,História da arte
710,Planejamento urbano e paisagismo
712,Paisagismo
720,Arquitetura
7.210.288,Restauro e conservação de construções históricas
725,Edifícios públicos
726,Edifícios religiosos
728,Residências
730,"Artes plásticas, escultura"
740,Desenho e artes decorativas
741.5,"Cartoons, caricaturas e quadrinhos"
750,Pintura
760,"Artes gráficas, gravuras"
770,Fotografia
780,Música
790,"Artes cênicas e recreativas, esportes"
791.409,História do cinema
791.437,Crítica de filmes
792,Teatro
792.62,Dança
796,"Educação física, esporte"
800,Literatura
808,Retórica
808.899.282,Literatura infanto-juvenil
810,Literatura americana
820,Literatura inglesa (inclui literatura do Canadá)
830,Literatura alemã (inclui todos os países de língua alemã)
840,Literatura francesa
850,Literatura italiana
860,Literatura espanhola
869,Literatura portuguesa
870,Literatura latina (Latim)
880,Literatura grega
890,"Outras literaturas, literaturas de outros idiomas"
900,Geografia e história
910,Geografia e viagens
912,"Mapas, Atlas, Cartografia, Representações gráficas"
918.1,Geografia e viagens - Brasil
920,Biografias
929,Genealogia
930,História do mundo antigo até ca. 499
950,"História da ásia, oriente"
960,História da áfrica
970,História da américa do norte
980,História da américa do sul
981,História do Brasil
990,História de outras regiões
B869,Literatura brasileira
B869.1,Poesia brasileira
B869.2,Teatro brasileiro
B869.3,"Romance, ficção e contos brasileiros"
B869.4,Ensaios brasileiros
B869.5,Discursos brasileiros
B869.6,Cartas brasileiras
B869.7,Humor e sátira brasileiros
B869.8,Coletânea/Miscelânea
B869.9,História e crítica literária brasileira

